"team","ncaa_id","season","jersey","name","position","height_clean","year","hometown","homestate","high_school","previous_school","url","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean","previous_school_clean"
"Abilene Christian",2,"2025-26","0","Molly Daugherty","G","5'10""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/molly-daugherty/10954","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"Summerville HS","SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","1","Emma Daugherty","F","6'1""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/emma-daugherty/10955","TX","WAC","I",6,1,73,"FORWARD",,"FORWARD","Freshman",0,"Summerville HS","SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","10","Payton Hull","G","5'10""","Jr.","Peaster","Texas","Peaster HS",,"https://acusports.com/sports/womens-basketball/roster/payton-hull/10942","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Junior",0,"Peaster HS","PEASTER, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","11","Bree Riley","G","5'5""","Fr.","Spring","Texas","Grand Oaks HS",,"https://acusports.com/sports/womens-basketball/roster/bree-riley/10956","TX","WAC","I",5,5,65,"GUARD",,"GUARD","Freshman",0,"Grand Oaks HS","SPRING, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","14","Meredith Mayes","C","6'3""","Jr.","Bixby","Okla","Bixby HS",,"https://acusports.com/sports/womens-basketball/roster/meredith-mayes/10943","TX","WAC","I",6,3,75,"CENTER",,"CENTER","Junior",0,"Bixby HS","BIXBY, OKLA","OK","USA",
"Abilene Christian",2,"2025-26","15","Jazmyn Stone","G","5'6""","R-Jr.","Federal Way","Wash","Annie Wright Upper School for Girls","College of Charleston","https://acusports.com/sports/womens-basketball/roster/jazmyn-stone/10958","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Junior",1,"Annie Wright Upper School for Girls","FEDERAL WAY, WASH","WA","USA","College of Charleston"
"Abilene Christian",2,"2025-26","2","Natalia Chavez","G","5'11""","Sr.","Cochiti Pueblo","NM.","Volcano Vista HS","New Mexico","https://acusports.com/sports/womens-basketball/roster/natalia-chavez/10939","TX","WAC","I",5,11,71,"GUARD",,"GUARD","Senior",0,"Volcano Vista HS","COCHITI PUEBLO, NM","NM","USA","New Mexico"
"Abilene Christian",2,"2025-26","21","Riley Grohman","G","5'10""","Fr.","Tuscola","Texas","Jim Ned HS",,"https://acusports.com/sports/womens-basketball/roster/riley-grohman/10957","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"Jim Ned HS","TUSCOLA, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","23","Jordyn Coleman","C","6'2""","Jr.","Zionsville","Ind","Zionsville Community HS","Triton College","https://acusports.com/sports/womens-basketball/roster/jordyn-coleman/10959","TX","WAC","I",6,2,74,"CENTER",,"CENTER","Junior",0,"Zionsville Community HS","ZIONSVILLE, IND","IN","USA","Triton College"
"Abilene Christian",2,"2025-26","24","Emma Troxell","F","6'0""","Jr.","Bushland","Texas","Bushland HS",,"https://acusports.com/sports/womens-basketball/roster/emma-troxell/10944","TX","WAC","I",6,0,72,"FORWARD",,"FORWARD","Junior",0,"Bushland HS","BUSHLAND, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","4","Erin Woodson","G","5'10""","Jr.","Richmond","Virginia","Saint Gertrude HS","Purdue Fort Wayne","https://acusports.com/sports/womens-basketball/roster/erin-woodson/10945","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Junior",0,"Saint Gertrude HS","RICHMOND, VA","VA","USA","Purdue Fort Wayne"
"Abilene Christian",2,"2025-26","41","Aimee Flippen","C","6'4""","So.","Glen Rose","Texas","Glen Rose HS",,"https://acusports.com/sports/womens-basketball/roster/aimee-flippen/10941","TX","WAC","I",6,4,76,"CENTER",,"CENTER","Sophomore",0,"Glen Rose HS","GLEN ROSE, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","5","Breanna Davis","G","5'6""","Sr.","Waxahachie","Texas","Red Oak HS","North Texas","https://acusports.com/sports/womens-basketball/roster/breanna-davis/10940","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Senior",0,"Red Oak HS","WAXAHACHIE, TEXAS","TX","USA","North Texas"
"Adelphi",3,"2025-26","1","Kirina Azemar","G","5'5""","Jr.","Westbury","NY.","Westbury","Nassau Community College","https://aupanthers.com/sports/womens-basketball/roster/kirina-azemar/11367","NY","NE10","II",5,5,65,"GUARD",,"GUARD","Junior",0,"Westbury","WESTBURY, NY","NY","USA","Nassau Community College"
"Adelphi",3,"2025-26","10","Sofia Kammas","G","5'10""","Fr.","Bayside","NY.","St. Mary's",,"https://aupanthers.com/sports/womens-basketball/roster/sofia-kammas/11365","NY","NE10","II",5,10,70,"GUARD",,"GUARD","Freshman",0,"St. Mary's","BAYSIDE, NY","NY","USA",
"Adelphi",3,"2025-26","11","Lauren Beberman","G/F","5'11""","Jr.","Mahopac","NY.","Mahopac",,"https://aupanthers.com/sports/womens-basketball/roster/lauren-beberman/11355","NY","NE10","II",5,11,71,"GUARD","FORWARD","GUARD/FORWARD","Junior",0,"Mahopac","MAHOPAC, NY","NY","USA",
"Adelphi",3,"2025-26","12","Alyssa Bell","G","5'7""","Fr.","Shoreham","NY.","Shoreham-Wading River",,"https://aupanthers.com/sports/womens-basketball/roster/alyssa-bell/11362","NY","NE10","II",5,7,67,"GUARD",,"GUARD","Freshman",0,"Shoreham-Wading River","SHOREHAM, NY","NY","USA",
"Adelphi",3,"2025-26","13","Brooklyn SanFelippo","F","6'0""","Jr.","Staten Island","NY.","Hoosac School","Queens","https://aupanthers.com/sports/womens-basketball/roster/brooklyn-sanfelippo/11359","NY","NE10","II",6,0,72,"FORWARD",,"FORWARD","Junior",0,"Hoosac School","STATEN ISLAND, NY","NY","USA","Queens"
"Adelphi",3,"2025-26","14","Adout Ring","F","6'2""","Sr.","Sydney","Australia","West Oaks Academy","Presbyterian","https://aupanthers.com/sports/womens-basketball/roster/adout-ring/11570","NY","NE10","II",6,2,74,"FORWARD",,"FORWARD","Senior",0,"West Oaks Academy","SYDNEY, AUSTRALIA",,"AUSTRALIA","Presbyterian"
"Adelphi",3,"2025-26","15","Christina Sanchez","G","5'7""","Sr.","Copiague","NY.","Perkiomen School",,"https://aupanthers.com/sports/womens-basketball/roster/christina-sanchez/11358","NY","NE10","II",5,7,67,"GUARD",,"GUARD","Senior",0,"Perkiomen School","COPIAGUE, NY","NY","USA",
"Adelphi",3,"2025-26","2","Isabella Asencio","G","5'4""","Jr.","Midland Park","NJ.","Immaculate Heart Academy",,"https://aupanthers.com/sports/womens-basketball/roster/isabella-asencio/11354","NY","NE10","II",5,4,64,"GUARD",,"GUARD","Junior",0,"Immaculate Heart Academy","MIDLAND PARK, NJ","NJ","USA",
"Adelphi",3,"2025-26","22","Elizabeth Healy","F","5'9""","Fr.","Malverne","NY.","Kellenberg Memorial",,"https://aupanthers.com/sports/womens-basketball/roster/elizabeth-healy/11363","NY","NE10","II",5,9,69,"FORWARD",,"FORWARD","Freshman",0,"Kellenberg Memorial","MALVERNE, NY","NY","USA",
"Adelphi",3,"2025-26","23","Victoria Morales","G","5'5""","So.","Lawrence","Mass","Proctor Academy",,"https://aupanthers.com/sports/womens-basketball/roster/victoria-morales/11366","NY","NE10","II",5,5,65,"GUARD",,"GUARD","Sophomore",0,"Proctor Academy","LAWRENCE, MASS","MA","USA",
"Adelphi",3,"2025-26","3","Gianna Chuffo","G","5'6""","Fr.","Iselin","NJ.","St. Thomas Aquinas HS",,"https://aupanthers.com/sports/womens-basketball/roster/gianna-chuffo/11364","NY","NE10","II",5,6,66,"GUARD",,"GUARD","Freshman",0,"St. Thomas Aquinas HS","ISELIN, NJ","NJ","USA",
"Adelphi",3,"2025-26","33","Gamila Betton","F","6'1""","So.","Ocean Township","NJ.","Ocean Township",,"https://aupanthers.com/sports/womens-basketball/roster/gamila-betton/11356","NY","NE10","II",6,1,73,"FORWARD",,"FORWARD","Sophomore",0,"Ocean Township","OCEAN TOWNSHIP, NJ","NJ","USA",
"Adelphi",3,"2025-26","4","Me'Challe Cancer","G/F","5'9""","So.","Albany","NY.","Millbrook School",,"https://aupanthers.com/sports/womens-basketball/roster/me-challe-cancer/11357","NY","NE10","II",5,9,69,"GUARD","FORWARD","GUARD/FORWARD","Sophomore",0,"Millbrook School","ALBANY, NY","NY","USA",
"Adelphi",3,"2025-26","5","Madison Williams","G","5'9""","So.","Brandywine","Maryland","Oxon Hill",,"https://aupanthers.com/sports/womens-basketball/roster/madison-williams/11360","NY","NE10","II",5,9,69,"GUARD",,"GUARD","Sophomore",0,"Oxon Hill","BRANDYWINE, MD","MD","USA",
"Adrian",4,"2025-26","0","Ava Schultz","F","5'10""","Junior","Wolverine","Mich","Gaylord St. Mary",,"https://adrianbulldogs.com/sports/womens-basketball/roster/ava-schultz/29979","MI","Michigan Intercol. Ath. Assn.","III",5,10,70,"FORWARD",,"FORWARD","Junior",0,"Gaylord St. Mary","WOLVERINE, MICH","MI","USA",
"Adrian",4,"2025-26","1","Hannah Lisch","G","5'7""","Sophomore","Farmington Hills","Mich","St. Catherine of Siena Academy",,"https://adrianbulldogs.com/sports/womens-basketball/roster/hannah-lisch/29926","MI","Michigan Intercol. Ath. Assn.","III",5,7,67,"GUARD",,"GUARD","Sophomore",0,"St. Catherine of Siena Academy","FARMINGTON HILLS, MICH","MI","USA",
"Adrian",4,"2025-26","10","Morgan Babb","G","5'10""","Senior","Caledonia","Mich","Caledonia High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/morgan-babb/29921","MI","Michigan Intercol. Ath. Assn.","III",5,10,70,"GUARD",,"GUARD","Senior",0,"Caledonia High School","CALEDONIA, MICH","MI","USA",
"Adrian",4,"2025-26","11","Aubrie Ickes","F","5'11""","Senior","Livonia","Mich","Stevenson High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/aubrie-ickes/29923","MI","Michigan Intercol. Ath. Assn.","III",5,11,71,"FORWARD",,"FORWARD","Senior",0,"Stevenson High School","LIVONIA, MICH","MI","USA",
"Adrian",4,"2025-26","12","Anya Riley","F","5'8""","Sophomore","Sterling Heights","Mich","Westfield Prep High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/anya-riley/29932","MI","Michigan Intercol. Ath. Assn.","III",5,8,68,"FORWARD",,"FORWARD","Sophomore",0,"Westfield Prep High School","STERLING HEIGHTS, MICH","MI","USA",
"Adrian",4,"2025-26","14","Emma McElroy","G","5'5""","Sophomore","Van Buren Township","Mich","Washtenaw Christian Academy",,"https://adrianbulldogs.com/sports/womens-basketball/roster/emma-mcelroy/29929","MI","Michigan Intercol. Ath. Assn.","III",5,5,65,"GUARD",,"GUARD","Sophomore",0,"Washtenaw Christian Academy","VAN BUREN TOWNSHIP, MICH","MI","USA",
"Adrian",4,"2025-26","15","Lauren Bartkiewicz","F","5'8""","Junior","Madison Heights","Mich","Bishop Foley Catholic High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/lauren-bartkiewicz/29922","MI","Michigan Intercol. Ath. Assn.","III",5,8,68,"FORWARD",,"FORWARD","Junior",0,"Bishop Foley Catholic High School","MADISON HEIGHTS, MICH","MI","USA",
"Adrian",4,"2025-26","2","Abigail Malone","G","5'6""","Sophomore","Troy","Mich","Athens High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/abigail-malone/29927","MI","Michigan Intercol. Ath. Assn.","III",5,6,66,"GUARD",,"GUARD","Sophomore",0,"Athens High School","TROY, MICH","MI","USA",
"Adrian",4,"2025-26","20","Anna Ignatoski","G","5'7""","Freshman","Grand Rapids","Mich","West Catholic",,"https://adrianbulldogs.com/sports/womens-basketball/roster/anna-ignatoski/29939","MI","Michigan Intercol. Ath. Assn.","III",5,7,67,"GUARD",,"GUARD","Freshman",0,"West Catholic","GRAND RAPIDS, MICH","MI","USA",
"Adrian",4,"2025-26","21","Jenna Tierman","G","5'7""","Senior","Muskegon","Mich","Mona Shores High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/jenna-tierman/29934","MI","Michigan Intercol. Ath. Assn.","III",5,7,67,"GUARD",,"GUARD","Senior",0,"Mona Shores High School","MUSKEGON, MICH","MI","USA",
"Adrian",4,"2025-26","23","Aleena McCullough","F","5'8""","Sophomore","West Bloomfield","Mich","Walled Lake Northern High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/aleena-mccullough/29928","MI","Michigan Intercol. Ath. Assn.","III",5,8,68,"FORWARD",,"FORWARD","Sophomore",0,"Walled Lake Northern High School","WEST BLOOMFIELD, MICH","MI","USA",
"Adrian",4,"2025-26","24","Darby Lienerth","G","5'6""","Senior","Lansing","Mich","Potterville High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/darby-lienerth/29925","MI","Michigan Intercol. Ath. Assn.","III",5,6,66,"GUARD",,"GUARD","Senior",0,"Potterville High School","LANSING, MICH","MI","USA",
"Adrian",4,"2025-26","25","Greer Simpson",,"5'10""","Sophomore","Mount Gilead","Ohio","Mount Gilead",,"https://adrianbulldogs.com/sports/womens-basketball/roster/greer-simpson/29981","MI","Michigan Intercol. Ath. Assn.","III",5,10,70,,,,"Sophomore",0,"Mount Gilead","MOUNT GILEAD, OHIO","OH","USA",
"Adrian",4,"2025-26","3","Makenna Johnson","G","5'7""","Sophomore","Adrian","Mich","Adrian High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/makenna-johnson/29924","MI","Michigan Intercol. Ath. Assn.","III",5,7,67,"GUARD",,"GUARD","Sophomore",0,"Adrian High School","ADRIAN, MICH","MI","USA",
"Adrian",4,"2025-26","30","Ashlyn Moorehead","G","5'5""","Freshman","Tecumseh","Mich","Tecumseh",,"https://adrianbulldogs.com/sports/womens-basketball/roster/ashlyn-moorehead/29940","MI","Michigan Intercol. Ath. Assn.","III",5,5,65,"GUARD",,"GUARD","Freshman",0,"Tecumseh","TECUMSEH, MICH","MI","USA",
"Adrian",4,"2025-26","32","Rylee Troth","G","5'6""","Senior","Payne","Ohio","Wayne Trace High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/rylee-troth/29935","MI","Michigan Intercol. Ath. Assn.","III",5,6,66,"GUARD",,"GUARD","Senior",0,"Wayne Trace High School","PAYNE, OHIO","OH","USA",
"Adrian",4,"2025-26","34","Caitlin Griffin","F","5'10""","Freshman","Northville","Mich","St. Catherine of Siena Academy",,"https://adrianbulldogs.com/sports/womens-basketball/roster/caitlin-griffin/29937","MI","Michigan Intercol. Ath. Assn.","III",5,10,70,"FORWARD",,"FORWARD","Freshman",0,"St. Catherine of Siena Academy","NORTHVILLE, MICH","MI","USA",
"Adrian",4,"2025-26","4","Jenna Hinzmann","F","5'9""","Freshman","Southgate","Mich","Southgate Anderson",,"https://adrianbulldogs.com/sports/womens-basketball/roster/jenna-hinzmann/29938","MI","Michigan Intercol. Ath. Assn.","III",5,9,69,"FORWARD",,"FORWARD","Freshman",0,"Southgate Anderson","SOUTHGATE, MICH","MI","USA",
"Adrian",4,"2025-26","40","Peyton Russell","F","5'11""","Senior","Battle Creek","Mich","Lakeview High School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/peyton-russell/29933","MI","Michigan Intercol. Ath. Assn.","III",5,11,71,"FORWARD",,"FORWARD","Senior",0,"Lakeview High School","BATTLE CREEK, MICH","MI","USA",
"Adrian",4,"2025-26","5","Kaitlyn Otto","G","5'6""","Junior","Rochester Hills","Mich","Bloomfield Christian School",,"https://adrianbulldogs.com/sports/womens-basketball/roster/kaitlyn-otto/29931","MI","Michigan Intercol. Ath. Assn.","III",5,6,66,"GUARD",,"GUARD","Junior",0,"Bloomfield Christian School","ROCHESTER HILLS, MICH","MI","USA",
"Adrian",4,"2025-26","55","Sophia Bussell","G","5'7""","Freshman","Monroe","Mich","Monroe",,"https://adrianbulldogs.com/sports/womens-basketball/roster/sophia-bussell/29936","MI","Michigan Intercol. Ath. Assn.","III",5,7,67,"GUARD",,"GUARD","Freshman",0,"Monroe","MONROE, MICH","MI","USA",
"Akron",5,"2025-26","0","Kailee Bransford","G","5' 7''","Freshman","Cincinnati","Ohio",,,"https://gozips.com/sports/womens-basketball/roster/kailee-bransford/9749","OH","MAC","I",5,,,"GUARD",,"GUARD","Freshman",0,,"CINCINNATI, OHIO","OH","USA",
"Akron",5,"2025-26","1","Liz Murphy","G","5' 9''","Sophomore","Yackandandah","Australia",,,"https://gozips.com/sports/womens-basketball/roster/liz-murphy/9744","OH","MAC","I",5,,,"GUARD",,"GUARD","Sophomore",0,,"YACKANDANDAH, AUSTRALIA",,"AUSTRALIA",
"Akron",5,"2025-26","10","Corinne Reed","G","5' 9''","Freshman","Chicago","Ill",,,"https://gozips.com/sports/womens-basketball/roster/corinne-reed/9755","OH","MAC","I",5,,,"GUARD",,"GUARD","Freshman",0,,"CHICAGO, ILL","IL","USA",
"Akron",5,"2025-26","11","Maddie Vejsicky","G","6' 0''","Senior","New Concord","Ohio","Newark",,"https://gozips.com/sports/womens-basketball/roster/maddie-vejsicky/9747","OH","MAC","I",6,,,"GUARD",,"GUARD","Senior",0,,"NEW CONCORD, OHIO","OH","USA",
"Akron",5,"2025-26","14","Liisa Taponen","C","6' 5''","Senior","Tampere","Finland","Mäkelänrinteen Upper Secondary School",,"https://gozips.com/sports/womens-basketball/roster/liisa-taponen/9746","OH","MAC","I",6,,,"CENTER",,"CENTER","Senior",0,,"TAMPERE, FINLAND",,"FINLAND",
"Akron",5,"2025-26","20","Keiryn McGuff","G/F","6' 0''","Junior","Dublin","Ohio",,,"https://gozips.com/sports/womens-basketball/roster/keiryn-mcguff/9753","OH","MAC","I",6,,,"GUARD","FORWARD","GUARD/FORWARD","Junior",0,,"DUBLIN, OHIO","OH","USA",
"Akron",5,"2025-26","22","Teniesha Clarke","G","5' 9''","Junior","Burlington","Ontario","AN Meyer Secondary",,"https://gozips.com/sports/womens-basketball/roster/teniesha-clarke/9743","OH","MAC","I",5,,,"GUARD",,"GUARD","Junior",0,,"BURLINGTON, ONTARIO",,"CANADA",
"Akron",5,"2025-26","24","Ella Wigal","G","6' 0''","Junior","Granville","Ohio","IMG Academy",,"https://gozips.com/sports/womens-basketball/roster/ella-wigal/9748","OH","MAC","I",6,,,"GUARD",,"GUARD","Junior",0,,"GRANVILLE, OHIO","OH","USA",
"Akron",5,"2025-26","33","Ni'Rah Clark","F","6' 2''","Sophomore","Toledo","Ohio","Rogers",,"https://gozips.com/sports/womens-basketball/roster/nirah-clark/9742","OH","MAC","I",6,,,"FORWARD",,"FORWARD","Sophomore",0,,"TOLEDO, OHIO","OH","USA",
"Akron",5,"2025-26","35","Monique Mitchell","G/F","5' 11''","Freshman","South Bend","Ind",,,"https://gozips.com/sports/womens-basketball/roster/monique-mitchell/9754","OH","MAC","I",5,,,"GUARD","FORWARD","GUARD/FORWARD","Freshman",0,,"SOUTH BEND, IND","IN","USA",
"Akron",5,"2025-26","4","Kam'Ren Rhodes","G","5' 6''","Senior","Chandler","Ariz","Arizona Compass Prep",,"https://gozips.com/sports/womens-basketball/roster/kamren-rhodes/9745","OH","MAC","I",5,,,"GUARD",,"GUARD","Senior",0,,"CHANDLER, ARIZ","AZ","USA",
"Akron",5,"2025-26","5","Natalie Johnson","G","5' 8''","Senior","Waldorf","Maryland",,,"https://gozips.com/sports/womens-basketball/roster/natalie-johnson/9752","OH","MAC","I",5,,,"GUARD",,"GUARD","Senior",0,,"WALDORF, MD","MD","USA",
"Akron",5,"2025-26","6","Izzy Callaway","G","5' 7''","Sophomore","Copley","Ohio",,,"https://gozips.com/sports/womens-basketball/roster/izzy-callaway/9751","OH","MAC","I",5,,,"GUARD",,"GUARD","Sophomore",0,,"COPLEY, OHIO","OH","USA",
"Akron",5,"2025-26","8","Shaena Brew","G","5' 6''","Freshman","Rialto","Calif",,,"https://gozips.com/sports/womens-basketball/roster/shaena-brew/9750","OH","MAC","I",5,,,"GUARD",,"GUARD","Freshman",0,,"RIALTO, CALIF","CA","USA",
"Alabama A&M",6,"2025-26","0","Rakiyah Beal","G","5'11""","Sr.","Detroit","Mich",,,"https://aamusports.com/sports/womens-basketball/roster/rakiyah-beal/7357","AL","SWAC","I",5,11,71,"GUARD",,"GUARD","Senior",0,,"DETROIT, MICH","MI","USA",
"Alabama A&M",6,"2025-26","1","Amber Scott","G","5'9""","Sr.","Jackson","Miss",,,"https://aamusports.com/sports/womens-basketball/roster/amber-scott/7495","AL","SWAC","I",5,9,69,"GUARD",,"GUARD","Senior",0,,"JACKSON, MISS","MS","USA",
"Alabama A&M",6,"2025-26","11","Aniya Palmer","G","6'1""","Jr.","LaGrange","Georgia","Troup County HS",,"https://aamusports.com/sports/womens-basketball/roster/aniya-palmer/7347","AL","SWAC","I",6,1,73,"GUARD",,"GUARD","Junior",0,,"LAGRANGE, GA","GA","USA",
"Alabama A&M",6,"2025-26","13","Tre'Miyah Berry","G","5'9""","So.","Conyers","Georgia",,,"https://aamusports.com/sports/womens-basketball/roster/tre-miyah-berry/7362","AL","SWAC","I",5,9,69,"GUARD",,"GUARD","Sophomore",0,,"CONYERS, GA","GA","USA",
"Alabama A&M",6,"2025-26","15","Coriah Beck","G","5'11""","Gr.","Memphis","Tenn","Fayetteville HS",,"https://aamusports.com/sports/womens-basketball/roster/coriah-beck/7343","AL","SWAC","I",5,11,71,"GUARD",,"GUARD","Graduate Student",0,,"MEMPHIS, TENN","TN","USA",
"Alabama A&M",6,"2025-26","2","Zaria Glover","G","5'10""","Sr.","Las Vegas","Nev",,,"https://aamusports.com/sports/womens-basketball/roster/zaria-glover/7358","AL","SWAC","I",5,10,70,"GUARD",,"GUARD","Senior",0,,"LAS VEGAS, NEV","NV","USA",
"Alabama A&M",6,"2025-26","21","Sumayah McIntosh","G/F","5'10""","Fr.","St. Petersburg","Fla",,,"https://aamusports.com/sports/womens-basketball/roster/sumayah-mcintosh/7363","AL","SWAC","I",5,10,70,"GUARD","FORWARD","GUARD/FORWARD","Freshman",0,"Lakewood HS","ST PETERSBURG, FLA","FL","USA",
"Alabama A&M",6,"2025-26","22","Shelomi Sanders","G","5'6""","R-Jr.","Dallas","Texas","Rockwall Heath HS",,"https://aamusports.com/sports/womens-basketball/roster/shelomi-sanders/7350","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Junior",1,,"DALLAS, TEXAS","TX","USA",
"Alabama A&M",6,"2025-26","23","Moses Davenport","C","6'5""","Gr.","Troy","Ala",,,"https://aamusports.com/sports/womens-basketball/roster/moses-davenport/7344","AL","SWAC","I",6,5,77,"CENTER",,"CENTER","Graduate Student",0,,"TROY, ALA","AL","USA",
"Alabama A&M",6,"2025-26","25","Kalia Walker","G","5'5""","Gr.","Alexander","Ark","Bryant HS",,"https://aamusports.com/sports/womens-basketball/roster/kalia-walker/7351","AL","SWAC","I",5,5,65,"GUARD",,"GUARD","Graduate Student",0,,"ALEXANDER, ARK","AR","USA",
"Alabama A&M",6,"2025-26","3","Vanessa Wimberly","G","5'6""","Fr.","St. John","Ill",,,"https://aamusports.com/sports/womens-basketball/roster/vanessa-wimberly/7359","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Freshman",0,"Lake Central HS","ST JOHN, ILL","IL","USA",
"Alabama A&M",6,"2025-26","35","Crystianna Whitehead","F","5'11""","Jr.","Cordova","Tenn","Memphis Business Academy",,"https://aamusports.com/sports/womens-basketball/roster/crystianna-whitehead/7352","AL","SWAC","I",5,11,71,"FORWARD",,"FORWARD","Junior",0,,"CORDOVA, TENN","TN","USA",
"Alabama A&M",6,"2025-26","5","Jaida Belton","F/C","6'4""","Sr.","Baltimore","Maryland",,,"https://aamusports.com/sports/womens-basketball/roster/jaida-belton/7360","AL","SWAC","I",6,4,76,"FORWARD","CENTER","FORWARD/CENTER","Senior",0,,"BALTIMORE, MD","MD","USA",
"Alabama A&M",6,"2025-26","6","Kamiyha Griffin","G","5'10""","So.","Batesville","Miss",,,"https://aamusports.com/sports/womens-basketball/roster/kamiyha-griffin/7493","AL","SWAC","I",5,10,70,"GUARD",,"GUARD","Sophomore",0,,"BATESVILLE, MISS","MS","USA",
"Alabama A&M",6,"2025-26","9","Kalyn Ervin","G","5'7""","Gr.","Indianapolis","Ind",,,"https://aamusports.com/sports/womens-basketball/roster/kalyn-ervin/7494","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Graduate Student",0,,"INDIANAPOLIS, IND","IN","USA",
"Alabama State",7,"2025-26","0","Amari Franklin","G","5'8""","Sr.","Pensacola","Fla","West Florida HS",,"https://bamastatesports.com/sports/womens-basketball/roster/amari-franklin/8804","AL","SWAC","I",5,8,68,"GUARD",,"GUARD","Senior",0,,"PENSACOLA, FLA","FL","USA",
"Alabama State",7,"2025-26","1","Alanah Pooler","F","5'9""","Jr.","Houston","Texas","Hoover HS",,"https://bamastatesports.com/sports/womens-basketball/roster/alanah-pooler/8806","AL","SWAC","I",5,9,69,"FORWARD",,"FORWARD","Junior",0,,"HOUSTON, TX","TX","USA",
"Alabama State",7,"2025-26","10","Charlese McClendon","F","5'11""","Jr.","Waycross","Georgia",,,"https://bamastatesports.com/sports/womens-basketball/roster/charlese-mcclendon/8810","AL","SWAC","I",5,11,71,"FORWARD",,"FORWARD","Junior",0,,"WAYCROSS, GA","GA","USA",
"Alabama State",7,"2025-26","11","Caylee Simpson","G","5'6""","Jr.","Columbus","Georgia",,,"https://bamastatesports.com/sports/womens-basketball/roster/caylee-simpson/8819","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Junior",0,,"COLUMBUS, GA","GA","USA",
"Alabama State",7,"2025-26","15","Ashley Gray","G","5'10""","Sr.","Sandersville","Georgia","Washington County HS",,"https://bamastatesports.com/sports/womens-basketball/roster/ashley-gray/8805","AL","SWAC","I",5,10,70,"GUARD",,"GUARD","Senior",0,"Washington County HS","SANDERSVILLE, GA","GA","USA",
"Alabama State",7,"2025-26","2","Shamya Reid","G","5'6""","Jr.","Detroit","Mich",,,"https://bamastatesports.com/sports/womens-basketball/roster/shamya-reid/8816","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Junior",0,,"DETROIT, MICH","MI","USA",
"Alabama State",7,"2025-26","22","Clearia Peterson","F/C","5'9""","So.","Detroit","Mich",,,"https://bamastatesports.com/sports/womens-basketball/roster/clearia-peterson/8815","AL","SWAC","I",5,9,69,"FORWARD","CENTER","FORWARD/CENTER","Sophomore",0,,"DETROIT, MICH","MI","USA",
"Alabama State",7,"2025-26","23","Taylor Smith","G","5'5""","Gr.","Fosters","Ala","Sipsey Valley HS",,"https://bamastatesports.com/sports/womens-basketball/roster/taylor-smith/8808","AL","SWAC","I",5,5,65,"GUARD",,"GUARD","Graduate Student",0,,"FOSTERS, ALA","AL","USA",
"Alabama State",7,"2025-26","24","Samiah Puckett","F","6'3""","Jr.","Griffin","Georgia","Griffin HS",,"https://bamastatesports.com/sports/womens-basketball/roster/samiah-puckett/8807","AL","SWAC","I",6,3,75,"FORWARD",,"FORWARD","Junior",0,,"GRIFFIN, GA","GA","USA",
"Alabama State",7,"2025-26","3","Takya Walters-Norman","G/F","6'0""","Jr.","Montgomery","Ala",,,"https://bamastatesports.com/sports/womens-basketball/roster/takya-walters-norman/8814","AL","SWAC","I",6,0,72,"GUARD","FORWARD","GUARD/FORWARD","Junior",0,,"MONTGOMERY, ALA","AL","USA",
